aachen	Аахен
dragalevtsi	dragelevtsi
dragalina	Драгалина
dragana	Драгана
tupchileshtovo	Тъпчилещово
draganica	Драганица
draganitsa	Драганица
stamford	Стамфорд
draganovci	Драгановци
vodoley	Водолей
draganovets	Драгановец
draganovo	Драганово
draganovtsi	Драгановица
dragantsi	Драганци
vologarska	Вологарска
dragievtsi	Драгиевци
toros	Торос
dragiovtsi	Драгиовци
dragiytsi	Драгийци
dragizhevo	Драгижево
dragnevska	Драгневска
dragnevtsi	Драгневци
dragodan	Драгодан
dragodanovo	Драгоданово
dragoevo	Драгоево
dragoil	Драгоил
turnak	Търнак
dragojnovo	Драгойново
dragolevtsi	Драголевци
zvezdec	Звездец
dragoman	Драгоман
dragomir	Драгомир
dragomirovo	Драгомирово
dragomuzh	Драгомъж
dragor	Драгор
dragostin	Драгостин
dragotintsi	Драготинци
dragovishhica	Драговищица
dragovishtitsa	Драговищица
svetulka	Светулка
dragovtsi	Драговци
dragoychintsi	Драгойчинци
zanoge	Заноге
dragushinovo	Драгушиново
varishte	Варище
draka	Драка
drakata	Драката
tsreshnovo	Црешново
drama	Драма
drandarite	Драндарите
stavretsite	Ставреците
turpan	Турфан
tsurkvino	Църквино
drazhevo	Дражево
drazhinci	Дражинци
drazhintsi	Дражинци
dreatin	Дреатин
drenci	Дренци
drenkovo	Дренково
dren	Дрен
drenovec	Дреновец
venelin	Венелин
drenovitsa	Дреновица
drenov	Дренов
drenovo	Дреново
drenta	Дрента
drentsi	Дренци
dresden	Дрезден
drinovo	Дриново
dripchevo	Дрипчево
dripka	Дрипка
drjanka	Дрянка
drjanovec	Дряновец
drjanovo	Дряново
drogheda	Дроида
dropla	Дропла
drugan	Друган
drumche	Друмче
zornica	Зорница
drumokhar	Друмохар
drumsha	Дръмша
tyanevo	Тянево
drundarska	Дръндарска
druvnitsa	Дръвница
druzhba	Дружба
druzhevo	Дружево
tuchenitsa	Тученица
dryanka	Дрянка
strasbourg	Страсбург
dryanovets	Дряновец
dryanovo	dryanovo
dryanska	Дрянска
dryanut	Дрянът
dubai	Дубай
dubene	Дъбене
duben	Дъбен
dub	Дъб
ulaanbaatar	Улан Батор
dubnica	Дъбница
dubnik	Дъбник
dubnitsa	Дъбница
spanchevci	Спанчевци
yakovitsa	Яковица
dubovets	Дъбовец
dubovik	Дъбовик
dubovi	Дъбови
dubovitsa	Дъбовица
dubovo	Дъбово
dubrava	Дъбрава
dubravata	Дубравата
surnec	Сърнец
dubravite	Дъбравите
dubravitsa	Дъбравица
dubravka	Дъбравка
dubrovnik	Дубровник
duganovo	Дуганово
dukhlevtsi	Духлевци
trapishte	Трапище
dukhovets	Духовец
dukhovo	Дъхово
dukovtsi	Дъковци
dulboki	Дълбоки
dulgach	Дългач
spasovtsi	Спасовци
dulgodeltsi	Дългоделци
dulgopol	Дългопол
dulovo	Дулово
tikrit	Тикрит
dunavci	Дунавци
dunavets	Дунавец
vurbjane	Върбяне
dundalk	Дъндок
zahle	Захла
dunedin	Дънидин
dunevo	Дунево
dunevtsi	Дуневци
dungovo	Дънгово
duni	Дюни
dunkerque	Дюнкерк
dupnitsa	Дупница
durankulak	Дуранкулак
durbolar	Дърболан
durcha	Дурча
durlevtsi	Дърлевци
durmanci	Дърманци
durmantsi	Дърманци
durovtsi	Дуровци
durres	Дуръс
durvari	Дървари
durvenitsa	Дървеница
durzhanitsa	Държаница
stevrek	Стеврек
durzhaven	Държавен
taraclia	Тараклия
vishlene	Вишлене
dushantsi	Душанци
dushevo	Душево
dushinkovo	Душинково
dushintsi	Душинци
stakevci	Стакевци
duskarite	Дъскарите
duskot	Дъскот
duskotna	Дъскотна
dusseldorf	Дюселдорф
trubach	Тръбач
duzhdino	Дъждино
duzhdovnica	Дъждовница
duzhdovnik	Дъждовник
yugovo	Югово
dvorishte	Дворище
dyadovo	Дядово
turne	Търне
vurlino	Върлино
tuchenica	Тученица
dyakovo	Дяково
dyaluk	Дялък
dyankovo	Дянково
dyugenite	Дюгените
zimevica	Зимевица
dyulgerska	Дюлгерска
dyulino	Дюлино
dyulitsa	Дюлица
dyulya	Дюля
dzhamuzovtsi	Джамузовци
dzhanka	Джанка
dzhebel	Джебел
dzhelepsko	Джелепско
dzherman	Джерман
dzherovo	Джерово
dzhigurovo	Джигурово
dzhilyaskovitsa	Джилясковица
dzhinchovtsi	Джинчовци
dzhinot	Джинот
vladimir	Владимир
dzhokari	Джокари
vrana	Врана
dzhulyunitsa	Джулюница
dzhumriite	Джумриите
dzhurkalitsa	Джуркалица
dzhurkovo	Джурково
dzhurovo	Джурово
zmeica	Змеица
dzivgeliya	Дзивгекия
edessa	Воден
trunitsa	Тръница
ulan-ude	Улан Уде
edinakovtsi	Единаковци
edinburgh	Единбург
edirne	Одрин
ednovertsi	Едноверци
edolo	Едоло
edrevo	Едрево
efrem	Ефрем
efreytor-bakalovo	Ефрейтор-Бакалово
eger	Егер
egrek	Егрек
egulnitsa	Егълница
eilat	Ейлат
vladaya	Владая
ekzarkh-antimovo	Екзарх-Антимово
elazig	Елязъг
stratford-upon-avon	Стратфорд на Ейвън
elechanova	Елечанова
elena	Елена
elenino	Еленино
elenite	Елените
tokelau	Токелау
zurich	Цюрих
elentsite	Еленците
eleshnica	Елешница
eleshnitsa	Елешница
yarebitsa	Яребица
yundola	Юндола
zhelyazkovtsi	Желявковци
elkhovec	Елховец
elkhovets	елховец
elkhovo	Елхово
elovdol	Еловдол
elovitsa	Еловица
el'ovo	Ельово
stanjanci	Станянци
vizitsa	Вижица
tsaritsa	Царица
emden	Емден
emen	Емен
emirovo	Емирово
telerig	Телериг
empoli	Емполи
enchec	Енчец
uzunite	Узуните
enchovtsi	Енчовци
enevo	Енево
sopotot	Сопотот
enina	Енина
enitsa	Еница
zingievtsi	Зингиевци
zhultika	Жълтика
vrattsa	Враца
en'ovets	Еньовец
entebbe	Ентебе
valparaiso	Валпараисо
erbil	Арбил
erden	Ерден
eremiya	Еремия
erevish	Еревиш
erfurt	Ерфурт
erlangen	Ерланген
erovete	Еровете
tenevo	Тенево
ese	Есе
esenica	Есеница
esenishte	Есенище
esenitsa	Есеница
esen	Есен
espoo	Еспоо
essen	Есен
esslingen	Еслинген
este	Есте
estepona	Естепона
estoril	Ещорил
eter	Етъра
etoumbi	Етумби
etropole	Етрополе
stoletovo	Столетово
evrenozovo	Евренозово
ezdimirtsi	Ездимирци
struindol	Струиндол
ezerets	Езерец
ezero	Езеро
veselets	Веселец
ezerovo	Езерово
vevey	Вьове
trakiets	Тракиец
tsenovich	Ценович
fakiya	Факия
falkovets	Фалковец
fatovo	Фатово
fazanovo	Фазаново
zhelyava	Желява
fes	Фес
strandzha	Странджа
filaretovo	Филаретово
filipovo	Филипово
tegucigalpa	Тегусигалпа
florentin	Флорентин
florina	Лерин
stob	Стоб
forli	Форли
formosa	Формоса
fotinovo	Фотиново
franceville	Франсвил
frauenfeld	Фрауенфелд
freiburg	Фрайбург
freising	Фрайзинг
yabulkovo	Ябълково
fresno	Фресно
frolosh	Фролош
fuenlabrada	Фуенлабрада
funchal	Фуншал
furen	Фурен
furevtsi	Фъревци
trakiytsi	Тракийци
tokyo	Токио
furore	Фуроре
furtuni	Фъртуни
gabare	Габаре
gabarevo	Габарево
gaberevo	Габерево
gaber	Габер
gaberovo	Габерево
gabraka	Габрака
gabra	Габра
zhinzifovo	Жинзифово
gabreshevtsi	Габрешевци
gabrica	Габрица
gabrina	Габрина
gabritsa	Габрица
gabrovdol	Габровдол
gabrovica	Габровица
gabrovitsa	Габровица
gabrovnica	Габровница
gabrovnitsa	Габровница
gabrovo	Габрово
gabrovtsi	Габровци
gabur	Габър
gaburnitsa	Габърница
gaburska	Габърска
gachovtsi	Гачовци
gagalya	Гагаля
gaganica	Гаганица
gaganitsa	Гаганица
gagovo	Гагово
gagra	Гагра
veselec	Веселец
galati	Галац
sovata	Совата
galiche	Галиче
galishhe	Галище
galishte	Галище
sukhino	Сухино
galway	Голуей
gambia	Гамбия
ganchovets	Ганчовец
ganchovo	Ганчово
zvezda	Звезда
tinkovo	Тинково
garvan	Гарван
zhelyazkovets	Желясковец
gashtevtsi	Гащевци
vurzulitsa	Вързулица
gavrailovo	Гавраилово
gaydari	Гайдари
gaykinite	Гайкините
gaytanevo	Гайтанево
gaytaninovo	Гайтаниново
vishovgrad	Вишовград
visok	Висок
gaza	Газа
gazurnitsite	Газурниците
gdansk	Гданск
gdynia	Гдиня
gecovo	Гецово
gega	Гега
gegovi	Гегови
gela	Гела
gelemenovo	Гелеманово
genchovtsi	Генчовци
vadstena	Вадстена
general-fichevo	Генерал-Фичево
general-geshevo	Генерал-Гешево
svetovrachene	Световрачене
general-kantardzhievo	Генерал-Кантарджиево
general-kiselovo	Генерал-Киселово
sokolnik	Соколник
general-marinovo	Генерал-Мариново
todorichene	Тодоричене
vlasatica	Власатица
general-toshevo	Генерал-Тошево
geneve	Женева
genova	Генуа
genovo	Геново
genovtsi	Геновци
gent	Гент
genya	Геня
georgia	Грузия
georgi-damyanovo	Георги-Дамяново
georgi-dobrevo	Георги-Добрево
zementsi	Земенци
geranovitsa	Герановица
geranya	Гераня
gergevec	Гергевец
gergevets	Гергевец
gergichka	Гергичка
gergini	Гергини
zvunarci	Звънарци
vallejo	Валехо
gesha	Геша
turnovlak	Търновлак
yakhinovo	Якиново
getsovo	Гетцово
gibraltar	Гибралтар
gigen	Гиген
gigintsi	Гигинци
ginci	Гинци
gintsi	Гинци
srednya	Средня
girchevtsi	Гирчевци
gita	Гита
vulchedrum	Вълчедръм
gjirokaster	Аргирокастро
gjueshevo	Гюешево
gjul'ovca	Гюльовца
gjurgich	Гюргич
glasgow	Глазгоу
glashatay	Глашатай
zambezi	Замбези
glava	Глава
glavanci	Главанци
sugarevo	Сугарево
glavanovtsi	Главановци
glavantsi	Главанци
glavatar	Главатар
glavatartsi	Главатарци
glavatsi	Главаци
glavinica	Главиница
glavinitsa	Главиница
gledachevo	Гледачево
uzundzhata	Узунджата
stolt	Столът
glendale	Глендейл
yagnevo	Ягнево
gloginka	Глогинка
vrachesh	Врачеш
glogovets	Глоговец
glogovitsa	Глоговица
tumbalovo	Тумбалово
voynitsi	Войници
glozhene	Гложене
glufishevo	Глуфичево
glukhar	Глухар
glumche	Глумче
glumovo	Глумово
glushka	Глушка
glushnik	Глушник
glutnitsite	Глутниците
gnezdare	Гнездаре
gnilyane	Гниляне
gnyazdovo	Гняздово
godech	Годеч
godeshevo	Годешево
godlevo	Годлево
vidbol	Видбол
golak	Голак
topilishta	Топлища
tangier	Танжер
vukan	Вукан
golec	Голец
golemanci	Големанци
golemani	Големани
golemanite	Големаните
tutrakantsi	Тутраканци
golemantsi	Големанци
golemin	Големин
golesh	Голеш
goleshovo	Голешово
goleta	Голита
golets	Голец
golica	Голица
yurukovo	Юруково
golitsa	Голица
goljanovci	Голяновци
golobrad	Голобрад
golobradovo	Голобрадово
gol'ovitsa	Гольовица
golyanovtsi	Голяновци
zaevete	Заевете
gomotartsi	Гомотарци
uchkuntsi	Ушкунци
ta'if	Таиф
strakhil	Страхил
gorchevo	Горчево
goreme	Гореме
gorica	Горица
gorichane	Горичане
gorichevo	Горичево
goritsa	Горица
gornenite	Горненинте
gornik	Горник
gornoseltsi	Горноселци
gornoslav	Горнослав
gornyani	Горняни
gorobiovtsi	Горобиовци
gorochevtsi	Горочевци
gorocvet	Гороцвет
gorostanete	Горощанете
gorotsvet	Горовец
gorovo	Горово
gorska	Горска
gorsko	Горско
gortalovo	Горталово
gorublyane	Горубляне
gorunaka	Горунака
gorun	Горун
surtsevo	Сърцето
goryani	Горяни
topoljane	Тополяне
gospodinovo	Господиново
gospodintsi	Господинци
gostilica	Гостилица
gostilitsa	Гостилица
gostilja	Гостиля
gostilya	Гостиля
gostina	Гостина
gostivar	Гостивар
gostun	Гостун
gottingen	Гьотинген
vodentsi	Воденци
govedarci	Говедарци
govedare	Говедаре
govedartsi	Говедарци
govezhda	Говежда
g'ovren	Гьоврен
gozdevitsa	Гоздевица
gozdeyka	Гоздейка
goz	Гоздейка
goznitsa	Гозница
verigovo	Веригово
gradeshnica	Градешница
gradeshnitsa	Градешница
gradets	Градец
gradevo	Градево
gradezhnica	Градежница
gradezhnitsa	Градешница
gradina	Градина
gradinarovo	Градинарово
gradini	Градини
gradinka	Градинка
gradishhe	Градище
gradishte	Градище
gradnica	Градница
gradnitsa	Градница
gradoman	Градоман
gradsko	Градско
zavala	Завала
gradut	Градът
graenna	Грена
grafitovo	Графитово
gramada	Грамада
gramadata	Грамадата
gramade	Грамаде
gramadlivo	Грамадливо
gramatikovo	Граматиково
gramatitsi	Граматици
gramazhdano	Грамаждано
granada	Гранада
granica	Граница
ustren	Устрен
stoynovo	Стойново
granitets	Гранитец
granit	Гранит
granitovo	Гранитово
granitsa	Граница
grashevo	Грашево
grashtitsa	Гращица
grasse	Грас
graz	Грац
greenland	Гренландия
greenock	Грийнок
greevtsi	Греевци
grenada	Гренада
tsruncha	Црънча
stomanevo	Стоманево
grivica	Гривица
grivitsa	Гривица
grivjak	Гривяк
grivka	Гривка
grivyak	Гривяк
grokhotno	Грохотно
gromshin	Громшин
verinsko	Веринско
grozd'ovo	Гроздьово
tuden	Туден
grublevtsi	Гръблевци
gruevo	Груево
gruncharovo	Грънчарово
gruncherite	Грънчерите
zelendol	Зелендол
grytviken	Грютвикен
guadeloupe	Гваделупа
guam	Гуам
vinevo	Винево
gubesh	Губеш
gubislav	Губислав
gudevitsa	Гудевица
gugutka	Гугутка
gulija	Гулия
gulijka	Гулийка
guliya	Гулия
guliyka	Гулийка
gulubari	Гълъбари
gulubec	Гълъбец
gulubets	Гълъбец
zvunartsi	Звънарци
gulubinka	Гълъбинка
gulubintsi	Гълъбинци
gulubnik	Гълъбник
studenica	Студеница
gulubovtsi	Гълъбовци
yagodovo	Ягодово
gumoshtnik	Гумощник
gumzovo	Гъмзово
gurbanovtsi	Гърбановци
gurbino	Гърбино
gurbishhe	Гърбище
gurbishte	Гърбище
gurchinovo	Гърчиново
gurdevtsi	Гърдевци
gurdezh	Гърдеж
gurgulitsa	Гургулица
gurgulyat	Гургулят
gurkovo	Гурково
vulchandol	Вълчандол
gurlyano	Гърляно
gurmazovo	Гурмазово
volovarci	Воловарци
strumyani	Струмяни
velikhodzhalar	Велиходжалар
gurnya	Гърня
guskovo	Гъсково
gusla	Гусла
guslar	Гуслар
gutsal	Гуцал
guyane	Френска Гвиана
treklyano	Тркляно
zagoriche	Загориче
gyudyurska	Гюдюрска
gyueshevo	Гюшево
gyul'ovtsa	Гюльовца
gyumri	Гюмри
gyurgevo	Гюргево
gyurgich	Гюргич
haarlem	Хаарлем
hafnarfjordur	Хапнарфьордюр
haifa	Хайфа
halle	Хале
hamburg	Хамбург
hamilton	Хамилтън
hannover	Хановер
harbin	Харбин
harrisburg	Харисбърг
hasanbejli	Блъсково
hastings	Хейстингс
hatvan	Хатван
havana	Хавана
yagoda	Ягода
hayward	Хейуърд
heerlen	Хеерлен
heidelberg	Хайделберг
helmstedt	Хелмщет
helsinki	Хелзинки
herat	Херат
hiroshima-shi	Хирошима
hirsova	Хърсово
hollywood	Холивуд
holon	Холон
homyel'	Гомел
vurbovo	Върбово
honolulu	Хонолулу
houston	Хюстън
vojnjagovo	Войнягово
hue	Хюе
husum	Хузум
tulsa	Тълса
ichera	Ичера
idfu	Едфу
idilevo	Идилево
iganovo	Иганово
iglika	Иглика
ignatica	Игнатица
ignatievo	Игнатиево
ignatitsa	Игнатица
ignatovo	Игнатово
ignatovtsi	Игнатовци
igoumenitsa	Игуменица
igralishhe	Игралище
igralishte	Игралище
ikhtiman	Ихтиман
vidima	Видима
ilievtsi	Илиевци
ilijno	Илийно
ilindenci	Илинденци
ilinden	Илинден
ilindentsi	Илинденци
ilinitsa	Илиница
ilitsa	Илица
iliya-bluskovo	Илия-Блъсково
iliya	Илия
iliyantsi	Илиянци
suchka	Съчка
iliysko	Илийско
iliyuvtsi	Илювци
il'ovskoto	Ильовското
zlatitrap	Златитрап
imrenchevo	Имренчево
ingolstadt	Инголщат
innsbruck	Инсбрук
sredok	Средок
inverness	Инвърнес
ioannina	Янина
zaraevo	Зараево
ipswich	Ипсуич
iquique	Икике
varchovtsi	Варчовци
irechek	Иречек
stikul	Стикъл
vedrovo	Ведрово
irinetsi	Иринеци
spanchevtsi	Спанчевци
irvine	Ървайн
iskra	Искра
vurbentsi	Върбенци
iskrets	Искрец
iskrica	Искрица
iskril	Искри
iskritsa	Искрица
iskur	Искър
stalevo	Сталево
isperikh	Исперих
isperikhovo	Исперихово
zhedilovo	Жедилово
ivajlo	Ивайло
ivancha	Иванча
travnik	Травник
ivanivanovtsi	Иванивановци
stranska	Странска
zet'ovo	Зетьово
ivanovo	Иваново
ivanovtsi	Ивановци
ivanshnitsa	Иваншница
ivanski	Ивански
ivantsi	Иванци
ivan-vazovo	Иван_Вазово
ivanyane	Иваняне
ivaylo	Ивайло
ivaylovgrad	Ивайловград
izbeglii	Избегли
izbul	Избул
zheljazno	Желязно
vidrare	Видраре
iztochnik	Источник
izvorche	Изворче
izvorishhe	Изворище
izvorishte	Изворище
izvor	Извор
izvornik	Изворник
teketo	Текето
izvorsko	Изворско
jablanovo	Ябланово
jabulchevo	Ябълчево
vuglarovo	Въгларово
jabulkovo	Ябълково
jackson	Джаксън
jacksonville	Джаксънвил
jagnilo	Ягнило
jagoda	Ягода
jagodina	Ягодина
jagodovo	Ягодово
jakarta	Джакарта
jakhinovo	Яхиново
yabulka	Ябълка
jamaica	Ямайка
jamna	Ямна
jana	Яна
jankovo	Янково
jantra	Янтра
japan	Япония
jardzhilovci	Ярджиловци
jarebica	Яребица
jarlovo	Ярлово
zimornitsa	Зиморница
tarsus	Тарс
jasenovec	Ясеновец
jasenovo	Ясеново
jastreb	Ястреб
jastrebovo	Ястребово
javorec	Яворец
javornica	Яворница
syktyvkar	Сиктивкар
jbail	Библос
jeddah	Джидда
jekabpils	Йекабпилс
jericho	Йерихон
jerusalem	Йерусалим
jesi	Йези
jesolo	Йезоло
joensuu	Йоенсу
joglav	Йоглав
johannesburg	Йоханесбург
jonkovo	Йонково
jordanovo	Йорданово
jovkovo	Йовково
voyvodinovo	Войводиново
julievo	Юлиево
spatovo	Спатово
trudovec	Трудовец
juper	Юпер
vranya	Враня
kabile	Кабиле
thun	Тун
kableshkovo	Каблешково
kabul	Кабул
kacelovo	Кацелово
vetrishte	Ветрище
kadievo	Кадиево
kadikoey	Халкедон
troyan	Троян
vaskovo	Весково
kaernten	Каринтия
kaiserslautern	Кайзерслаутерн
vlakhi	Влахи
ustovo	Устово
kalaydzhievo	Калайджиево
trud	Труд
kalchevo	Калчево
kalchovska	Калчовска
kalchovtsi	Калчовци
kalejca	Калейца
kalekovec	Калековец
kalekovets	Калековец
kalenik	Каленик
kalen	Кален
kalenovtsi	Каленовци
kalevishte	Калевище
kaleytsa	Калейца
kalimanci	Калиманци
kalimanitsa	Калиманица
kalimantsi	Калиманци
verentsi	Веренци
kaliningrad	Калининград
kalinka	Калинка
kalino	Калино
tsarichino	Царичино
kalishhe	Калище
kalishte	Калище
kalitinovo	Калитиново
kalkas	Калкас
kalkovo	Калково
vladimirovtsi	Владимировци
kalnishte	Калнище
kalofer	Калофер
kalojanci	Калоянци
kalojan	Калоян
kalojanovec	Калояновец
kalojanovo	Калояново
kalomen	Каломен
kalotina	Калотина
kalotintsi	Калотинци
kalovo	Калово
stryama	Стряма
uruchovtsi	Уручевци
kaloyanovo	Калояново
kaloyantsi	Калоянци
kaltinets	Калтинец
zagorski	Загорски
kalugeritsa	Калугерица
kalugerovo	Калугерово
vurlinka	Върлинка
kamburovo	Камбурово
kamchiya	Камчия
varad	Варад
kamenari	Каменари
kamenar	Каменар
kamenartsi	Каменарци
kamenchanska	Каменчанска
kamenec	Каменец
kamenets	Каменец
kamenik	Каменик
kamenitsa	Каменица
kamenjak	Каменяк
kamenka	Каменка
kamen	Камен
kamenna	Каменна
kameno	Камено
kamenovo	Каменово
kamensko	Каменско
zhelyazovo	Желязово
kamenyak	Каменяк
kamenyane	Каменяне
kameshtitsa	Каменица
kampala	Кампала
kanara	Канара
kandilka	Кандилка
kandovi	Кандови
kandzhiyska	Канджийска
kandzhulitsa	Канджулица
zaritsa	Зарица
kanjak	Каняк
kantari	Кантари
kanyak	Каняк
kaolinovo	Каолиново
kapatovo	Капатово
kapel	Капел
kapishte	Капище
zlatija	Златия
kapitan-dimitrievo	Капитан-Димитриево
kapitan-dimitrovo	Капитан-Димитрово
kapitanovci	Капитановци
kapitanovtsi	Капитановци
topolska	Тополска
karachi	Карачи
vurbino	Върбино
karadzhovo	Караджово
sredinka	Срединка
karageorgievo	Карагеоргиево
tervel	Тервел
karaivantsa	Караиваница
karaivantsi	Караиванци
karalite	Каралите
karamanci	Караманци
karamanite	Караманите
karamanitsa	Караманица
tijuana	Тихуана
karamantsi	Караманци
karamfil	Карамфил
karamichevska	Карамичевска
karanci	Каранци
karandili	Карандил
vikhren	Вихрен
karantsi	Каранци
karapelit	Карапелит
karapoltsi	Караполци
karash	Караш
karavelovo	Каравелово
karavel'ovo	Каравельово
karbala	Кербала
karbintsi	Карбинци
kardam	Кардам
kariyata	Карията
yavorets	Яворец
karlovo	Карлово
karlovsko	Карловско
karlsruhe	Карлсруе
visokovtsi	Високовци
ulm	Улм
karvuna	Карвуна
karyuvtsi	Карювци
kasaliyska	Касалийска
kasapsko	Касапско
kashentsi	Кашенци
kashi	Кашгар
kashina	Кашина
kasilag	Касилаг
kasnakovo	Каснаково
kaspichan	Каспичан
kassel	Касел
turnene	Търнене
strazhnitsa	Стражница
turokovtsi	Туроковци
katowice	Катовице
katrandzhii	Катранджии
katranitsa	Катраница
tabora	Табора
katrishte	Катрище
katselovo	Кацелово
topolchane	Тополчане
katunci	Катунци
katunec	Катунец
katunets	Катунец
katunica	Катуница
tabashka	Табашка
katunitsa	Катуница
katuntsi	Катунци
kavaje	Кавая
vankovtsi	Ванковци
kavlak	Кавлак
kavrakirovo	Кавракирово
kayaloba	Каялоба
kaykovska	Кайковска
kaynardzha	Кайнарджа
kayryaka	Кайряка
zhultesh	Жълтеш
kazak	Казак
kazanka	Казанка
kazanluk	Казанлък
kazashko	Казашко
kazatsi	Казаци
kazatsite	Казаците
yakoruda	Якоруда
kazimir	Казимир
srem	Срем
sracimir	Срацимир
kereka	Керека
kerenite	Керените
kermen	Кермен
kesarevo	Кесарево
kestenevo	Кестеново
tatul	Татул
kestenovo	Кестеново
khadzhidimitrovo	Хаджидимитрово
khadzhidimovo	Хаджидимово
khadzhievo	Хаджиево
zakhari-stoyanovo	Захари-Стояново
wimbledon	Уимбълдън
khalvadzhiysko	Халваджийско
khambar	Хамбар
khanovete	Хановете
khanovo	Ханово
kharacherite	Харачерите
kharkiv	Харков
zanoga	Занога
kharmanli	Харманли
terziyska	Терзийска
kharvalovtsi	Харваловци
khasakiite	Хасекиите
khaskovo	Хасково
starichene	Старичене
vratarite	Вратарите
khayredin	Хайредин
urvata	Урвата
khirevo	Хирево
khisar	Хисар
khisarya	Хисаря
khitovo	Хитово
khitrevtsi	Хитревци
khiwa	Хива
khlevene	Хлевене
khljabovo	Хлябово
khlyabovo	Хлябово
khodzhalar	Ходжалар
khodzhovtsi	Ходжовци
khotanca	Хотанца
khotantsa	Хотанца
khotnica	Хотница
khotnitsa	Хотница
stockholm	Стокхолм
svetoslav	Светослав
khrabrovo	Храброво
khrabursko	Храбърско
khrasna	Храсна
khrastovo	Храстово
khrishheni	Хрищени
khrishteni	Хрищени
khrisokefalos	Вълково
khristijanovo	Християново
khristiyanovo	Християново
khristo-danovo	Христо-Даново
khristovtsi	Христовци
khromitsa	Хромица
khrsovo	Хърсово
khubanovtsi	Хубановци
khubavene	Хубавене
khujand	Ходжент
vulchin	Вълчин
khuma	Хума
khunevtsi	Хъневци
khurlec	Хърлец
khurlets	Хърлец
khursovo	Хърсово
khvojna	Хвойна
khvostjane	Хвостяне
khvostyane	Хвостяне
khvoyna	Хвойна
khvurchil	Хвърчил
kichenica	Киченица
kichenitsa	Киченица
kichevo	Кичево
kichushka	Кичушка
kielce	Келце
terziyuvtsi	Терзийци
kiev	Киев
sredoseltsi	Средоселци
subotkovtsi	Съботковци
kikhayovtsi	Кихаьовци
kilifarevo	Килифарево
tadmur	Палмира
veren	Верен
vekilski	Векилски
vodenichane	Воденичане
kirchevo	Кирчево
kireevo	Киреево
kirevtsi	Киревци
kirilovo	Кирилово
kirklareli	Лозенград
vodata	Водата
kirovo	Кирово
kiselets	Киселец
kiselevo	Киселево
kiselichevo	Киселичево
kiselitsa	Киселица
kiselitsata	Киселицата
kiselkovtsi	Киселковци
kisiytsite	Кисийците
kis'ovtsi	Кисьовци
velikan	Великан
kitee	Китее
sturgel	Стъргел
yarlovo	Ярлово
kitka	Китка
kitna	Китна
kitnitsa	Китница
kjulevcha	Кюлевча
kladenchevo	Кладенчево
kladenets	Кладенец
kladentsi	Кладенци
kladnica	Кладница
kladnitsa	Кладница
kladorub	Кладоръб
startsevo	Старцево
klementina	Клементина
klenovik	Кленовик
klepalo	Клепало
uzovo	Узово
klikach	Кликач
klimash	Климаш
kliment	Климент
klimentovo	Климентово
klisura	Клисура
klisuritsa	Клисурица
yovkovtsi	Йовковци
klokotnica	Клокотница
klokotnitsa	Клокотница
klych	Ключ
klyuchevo	Ключево
vologda	Вологда
kmetovtsi	Кметовци
knezha	Кнежа
knezovo	Кнезово
knizhovnik	Книжовник
taganrog	Таганрог
staroseltsi	Староселци
knyazhevsko	Княжевско
kobilino	Кобилино
kobiljak	Кобиляк
yasenovo	Ясеново
subrano	Събрано
kobilyane	Кобиляне
koblenz	Кобленц
kochani	Кочани
kochan	Кочан
kocherinovo	Кочериново
vaklino	Ваклино
k'ochevtsi	Кочевци
kochmar	Кочмар
kochovo	Кочово
koeln	Кьолн
koevtsi	Коевци
koilovci	Коиловци
koilovtsi	Коиловци
kojnare	Койнаре
svatbare	Свадбаре
kokaljane	Кокаляне
verenci	Веренци
kokiche	Кокиче
kokkinia	Бърхово
kokora	Кокора
kokorkovo	Кокорково
trivoditsi	Триводици
kokoshane	Колошане
kolarci	Коларци
kolari	Колари
kolarovo	Коларово
zhizhevo	Жижево
kolec	Колец
kolena	Колена
kolets	Колец
kolibite	Колибите
kolich	Колич
zavet	Завет
sori	Сори
kolobur	Колобър
kolomna	Коломна
kolosh	Колош
kolusha	Колуша
kolushevo	Колючево
komarevo	Комарево
komatevo	Коматево
komodo	Комодо
ushintsi	Ушинци
komoshtitsa	Комощица
komotini	Гюмюрджина
komshtitsa	Комщица
komunari	Комунари
komuniga	Комунига
konak	Конак
konare	Конаре
voyvodino	Войводино
konarskoto	Конарското
konche	Конче
kondofrey	Кондофрей
kondolovo	Кондолово
strezimirovci	Стрецимировци
kondurite	Кондурите
konevec	Коневец
konevets	Коневец
konevod	Коневод
konevo	Конево
konjavo	Коняво
konnitsi	Конници
konop	Конор
kon'ovec	Коньовец
kon'ovitsa	Коньовица
kon'ovo	Коньово
zafirovo	Зафирово
konskowola	Консковола
konstantin	Константин
konstantinovets	Константиновец
konstantinovo	Константиново
kontil	Контил
tsruklevtsi	Цръклевци
konya	Кония
konyartsi	Конярци
konyavo	Коняво
sunnyvale	Сънивейл
kopadan	Копадан
kopanica	Копаница
kopanitsa	Копаница
yunatsi	Юнаци
svetlen	Светлен
kopcheliite	Копчелиите
suruvchevtsi	Сурувчевци
kopilovtsi	Копиловци
kopitnik	Копитник
koprec	Копрец
koprets	Копрец
koprinka	Копривка
zhilenci	Жиленци
koprivec	Копривец
koprivets	Копривец
koprivlen	Копривлен
koprivshtitsa	Копривщица
koren	Корен
koriite	Кориите
